"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 28 09:30:08 CST 2022","Thu Apr 28 09:30:15 CST 2022","7011","script","test_login","TestLogin","","","新增岗亭",""
"passed","Thu Apr 28 09:30:26 CST 2022","Thu Apr 28 09:30:35 CST 2022","8763","script","test_login","TestLogin","","","M款设备",""
"passed","Thu Apr 28 09:30:03 CST 2022","Thu Apr 28 09:30:08 CST 2022","5250","script","test_login","TestLogin","","","停车列表用例",""
"passed","Thu Apr 28 09:29:53 CST 2022","Thu Apr 28 09:29:58 CST 2022","5119","script","test_login","TestLogin","","","停车列表用例",""
"passed","Thu Apr 28 09:30:35 CST 2022","Thu Apr 28 09:30:46 CST 2022","11052","script","test_login","TestLogin","","","车道新增测试用例",""
"passed","Thu Apr 28 09:30:15 CST 2022","Thu Apr 28 09:30:26 CST 2022","10626","script","test_login","TestLogin","","","大车场区域",""
"passed","Thu Apr 28 09:29:58 CST 2022","Thu Apr 28 09:30:03 CST 2022","5101","script","test_login","TestLogin","","","停车列表用例",""
"passed","Thu Apr 28 09:29:42 CST 2022","Thu Apr 28 09:29:47 CST 2022","5213","script","test_login","TestLogin","","","停车列表用例",""
"passed","Thu Apr 28 09:30:46 CST 2022","Thu Apr 28 09:31:05 CST 2022","19298","script","test_login","TestLogin","","","月租车新增测试用例",""
"passed","Thu Apr 28 09:31:05 CST 2022","Thu Apr 28 09:31:19 CST 2022","13845","script","test_login","TestLogin","","","月租车导入用例",""
"passed","Thu Apr 28 09:29:29 CST 2022","Thu Apr 28 09:29:37 CST 2022","8440","script","test_login","TestLogin","","","停车列表用例",""
"passed","Thu Apr 28 09:29:37 CST 2022","Thu Apr 28 09:29:42 CST 2022","5104","script","test_login","TestLogin","","","停车列表用例",""
"passed","Thu Apr 28 09:29:47 CST 2022","Thu Apr 28 09:29:53 CST 2022","5427","script","test_login","TestLogin","","","停车列表用例",""
